,Unnamed: 0,Reglbrev_id,Stycke-id,RegleringsbrevÅr,Mening innan,Kontext,Departement,Beslutnamn,UO,UOnamn,Anslag,Anslagsår,Anslagnamn,Anslagspost,Anslagspostnamn,Delpost,Delpostnamn,UtskriftNomenklatur,Myndighet,Belopp,text,label,Sammanfoga,Uppdelad,Unnamed: 24
0,11488,479,7495,2020,,Anslagsposten får användas för Strålsäkerhetsmyndighetens förvaltningsutgifter.,Miljödepartementet,Myndighet Strålsäkerhetsmyndigheten,6,Försvar och samhällets krisberedskap,06 03 001,2020,Strålsäkerhetsmyndigheten,1,Strålsäkerhetsmynd. - del till SSM,,,3:1 ap.1,Strålsäkerhetsmyndigheten,122048000,Anslagsposten får användas för Strålsäkerhetsmyndighetens förvaltningsutgifter.,0,,,
1,42729,1639,28693,2014,,"1. åtgärder som genomförs i enlighet med förordningen (2009:1577) om statligt stöd till energikartläggning, samt för planering, utveckling av system, uppföljning och utvärdering av verksamheten,",Näringsdepartementet,Myndighet Statens energimyndighet,21,Energi,21 01 011,2014,Energieffektiviseringsprogram,2,Insatser inom näringslivet samt främjande av ny teknik och tjänster ,,,1:11 ap.2,Statens energimyndighet,121000000,"1. åtgärder som genomförs i enlighet med förordningen (2009:1577) om statligt stöd till energikartläggning, samt för planering, utveckling av system, uppföljning och utvärdering av verksamheten,",0,,,
2,53287,2118,35960,2011,,1. Arbetsförmedlingen får svara för en viss del av den statliga nationella medfinansieringen av det nationella strukturfondsprogrammet för regional konkurrenskraft och sysselsättning för programperioden 2007–2013 enligt villkoren för anslagsposten. Arbetsförmedlingen får därutöver medfinansiera sådana projekt inom de regionala strukturfondsprogrammen för regional konkurrenskraft och sysselsättning för programperioden 2007–2013 som ligger i linje med målen för den svenska arbetsmarknadspolitiken och villkoren för anslagsposten.,Arbetsmarknadsdepartementet,Myndighet Arbetsförmedlingen,14,Arbetsmarknad och arbetsliv,14 01 001,2011,Arbetsförmedlingens förvaltningskostnader,1,Förvaltningskostnader för AF,,,1:1 ap.1,Arbetsförmedlingen,5686062000,Arbetsförmedlingen får svara för en viss del av den statliga nationella medfinansieringen av det nationella strukturfondsprogrammet för regional konkurrenskraft och sysselsättning för programperioden 2007–2013 enligt villkoren för anslagsposten.,0,,,
3,53288,2118,35960,2011,,1. Arbetsförmedlingen får svara för en viss del av den statliga nationella medfinansieringen av det nationella strukturfondsprogrammet för regional konkurrenskraft och sysselsättning för programperioden 2007–2013 enligt villkoren för anslagsposten. Arbetsförmedlingen får därutöver medfinansiera sådana projekt inom de regionala strukturfondsprogrammen för regional konkurrenskraft och sysselsättning för programperioden 2007–2013 som ligger i linje med målen för den svenska arbetsmarknadspolitiken och villkoren för anslagsposten.,Arbetsmarknadsdepartementet,Myndighet Arbetsförmedlingen,14,Arbetsmarknad och arbetsliv,14 01 001,2011,Arbetsförmedlingens förvaltningskostnader,1,Förvaltningskostnader för AF,,,1:1 ap.1,Arbetsförmedlingen,5686062000,Arbetsförmedlingen får därutöver medfinansiera sådana projekt inom de regionala strukturfondsprogrammen för regional konkurrenskraft och sysselsättning för programperioden 2007–2013 som ligger i linje med målen för den svenska arbetsmarknadspolitiken och villkoren för anslagsposten.,0,,,
4,11767,461,7698,2020,,<em><em>FN:s insats i Afghanistan (UNAMA)</em></em>,Utrikesdepartementet,Anslag 07 01 001,7,Internationellt bistånd,07 01 001,2020,Biståndsverksamhet,12,Internationell civil krishantering - del till Polismyndigheten,,,1:1 ap.12,Polismyndigheten,197000000,**FN:s insats i Afghanistan (UNAMA)**,2,,,
5,61343,2516,42358,2009,,Ersättning för universitetets uppdrag beräknas per helårsstudent och helårsprestation och ingår i takbeloppet.,Utbildningsdepartementet,Myndighet Stockholms universitet,16,Utbildning och universitetsforskning,16 02 009,2009,Stockholms universitet: Grundutbildning,1,Takbelopp,,,2:9 ap.1,Stockholms universitet,1493647000,Ersättning för universitetets uppdrag beräknas per helårsstudent och helårsprestation och ingår i takbeloppet.,1,,,
6,72916,3052,52401,2006,,"Per capita-ersättningen för helårsstudenter och helårsprestationer inom de olika utbildningsområdena anges under Gemensamma bestämmelser för universitet och högskolor m.m., avsnittet Ekonomisk redovisning, Verksamhetsgren Grundläggande högskoleutbildning med stödfunktioner punkt 7.",Utbildnings- och kulturdepartementet,Myndighet Stockholms universitet,16,Utbildning och universitetsforskning,16 25 27,2006,Stockholms universitet: Grundutbildning,1,Takbelopp,,,25:27 ap.1,Stockholms universitet,989896000,"Per capita-ersättningen för helårsstudenter och helårsprestationer inom de olika utbildningsområdena anges under Gemensamma bestämmelser för universitet och högskolor m.m., avsnittet Ekonomisk redovisning, Verksamhetsgren Grundläggande högskoleutbildning med stödfunktioner punkt 7.",1,,,
7,30316,1186,20628,2016,,<ol>  <li>Från anslagsposten ska kostnaderna för en av regeringen utsedd tjänsteman stationerad vid Sveriges ständiga representation vid EU i Bryssel betalas.</li>  <li>Från anslagsposten får högst 10 000 000 kronor användas med anledning av eventuella särskilda krav från EU-kommissionen på grund av att Tullverket underlåtit att iaktta skyldigheten att fastställa och betala in traditionella egna medel. Detta ska dock inte gälla krav på egna medel till följd av beslut som ligger utanför Tullverkets kontroll. Ett exempel på detta är underlåtenhet som kan härledas till gällande svenska bestämmelser snarare än Tullverkets tillämpning av dessa. Ett annat exempel är fall där räntekostnader uppkommit till följd av att regeringen har valt att driva ett ärende mot kommissionen.</li>  <li>Från anslagsposten får högst 9 998 800 kronor användas för abonnemangsavgift för det gemensamma radiokommunikations- systemet Rakel. Tullverket ska kunna använda och samverka med stöd av Rakel. Beloppet ska betalas till Myndigheten för samhällsskydd och beredskap efter fakturering. </li>  </ol>,Finansdepartementet,Myndighet Tullverket,3,"Skatt, tull och exekution",03 01 003,2016,Tullverket,1,Tullverket,,,1:3 ap.1,Tullverket,1727170000, Från anslagsposten ska kostnaderna för en av regeringen utsedd tjänsteman stationerad vid Sveriges ständiga representation vid EU i Bryssel betalas.,0,,,
8,30317,1186,20628,2016,,<ol>  <li>Från anslagsposten ska kostnaderna för en av regeringen utsedd tjänsteman stationerad vid Sveriges ständiga representation vid EU i Bryssel betalas.</li>  <li>Från anslagsposten får högst 10 000 000 kronor användas med anledning av eventuella särskilda krav från EU-kommissionen på grund av att Tullverket underlåtit att iaktta skyldigheten att fastställa och betala in traditionella egna medel. Detta ska dock inte gälla krav på egna medel till följd av beslut som ligger utanför Tullverkets kontroll. Ett exempel på detta är underlåtenhet som kan härledas till gällande svenska bestämmelser snarare än Tullverkets tillämpning av dessa. Ett annat exempel är fall där räntekostnader uppkommit till följd av att regeringen har valt att driva ett ärende mot kommissionen.</li>  <li>Från anslagsposten får högst 9 998 800 kronor användas för abonnemangsavgift för det gemensamma radiokommunikations- systemet Rakel. Tullverket ska kunna använda och samverka med stöd av Rakel. Beloppet ska betalas till Myndigheten för samhällsskydd och beredskap efter fakturering. </li>  </ol>,Finansdepartementet,Myndighet Tullverket,3,"Skatt, tull och exekution",03 01 003,2016,Tullverket,1,Tullverket,,,1:3 ap.1,Tullverket,1727170000, Från anslagsposten får högst 10 000 000 kronor användas med anledning av eventuella särskilda krav från EU-kommissionen på grund av att Tullverket underlåtit att iaktta skyldigheten att fastställa och betala in traditionella egna medel.,0,,,
9,30318,1186,20628,2016,,<ol>  <li>Från anslagsposten ska kostnaderna för en av regeringen utsedd tjänsteman stationerad vid Sveriges ständiga representation vid EU i Bryssel betalas.</li>  <li>Från anslagsposten får högst 10 000 000 kronor användas med anledning av eventuella särskilda krav från EU-kommissionen på grund av att Tullverket underlåtit att iaktta skyldigheten att fastställa och betala in traditionella egna medel. Detta ska dock inte gälla krav på egna medel till följd av beslut som ligger utanför Tullverkets kontroll. Ett exempel på detta är underlåtenhet som kan härledas till gällande svenska bestämmelser snarare än Tullverkets tillämpning av dessa. Ett annat exempel är fall där räntekostnader uppkommit till följd av att regeringen har valt att driva ett ärende mot kommissionen.</li>  <li>Från anslagsposten får högst 9 998 800 kronor användas för abonnemangsavgift för det gemensamma radiokommunikations- systemet Rakel. Tullverket ska kunna använda och samverka med stöd av Rakel. Beloppet ska betalas till Myndigheten för samhällsskydd och beredskap efter fakturering. </li>  </ol>,Finansdepartementet,Myndighet Tullverket,3,"Skatt, tull och exekution",03 01 003,2016,Tullverket,1,Tullverket,,,1:3 ap.1,Tullverket,1727170000,Detta ska dock inte gälla krav på egna medel till följd av beslut som ligger utanför Tullverkets kontroll. Ett exempel på detta är underlåtenhet som kan härledas till gällande svenska bestämmelser snarare än Tullverkets tillämpning av dessa. Ett annat exempel är fall där räntekostnader uppkommit till följd av att regeringen har valt att driva ett ärende mot kommissionen.,0,B,,
