,text,label
0,"Ersättning från EG-budgeten som utbetalas till Sverige i enlighet med det frivilliga stödsystemet på det fytosanitära området från EU av bl.a. ersättning för förluster till följd av ingripande enligt växtskyddslagen, infrastruktursatsningar, får redovisas som inkomst under anslaget och disponeras för avsedda ändamål.",1
1,Staten företräds vid överläggningarna av Jordbruksverket och rennäringen av Sametinget.,0
2,"- Bidrag får beviljas för sådana kostnader som avses enligt de regler som finns i 2 kap. 14 § lagen (1988:950) om kulturminnen m.m., för ersättning enligt 2 kap. 7, 8 och 15 §§ samma lag samt bidrag enligt 6, 10 och 12 §§ förordningen (1993:379) om bidrag till kulturmiljövård.",0
3,För Riksantikvarieämbetet motsvarar omdisponeringen 56 000 kronor.,1
4,Anslagsposten får användas för stöd som lämnas enligt förordningen (1999:1148) om EG:s förordningar om jordbruksprodukter.,0
5,"- täcka befarade kundförluster vilka härrör från anslagsfinansierad verksamhet t.o.m. budgetåret 1999,",2
6,Högst 1 000 000 kronor får användas för effektuppföljning av verksamheten beträffande biologisk myggkontroll vid Nedre Dalälven.,0
7,Stöd till kommersiell service  4.,0
8,Länsstyrelsen i Jönköpings län skall föra de medel de erhåller från Regionförbundet Jönköpings län mot anslagspost 32:1 Länsstyrelserna m.m. ap.,1
9,Länsstyrelsen i Västra Götalands län skall varje månad utbetala en tolftedel av anslaget till Västra Götalands läns landsting.,1
10,"Per capita-ersättningen för helårsstudenter och helårsprestationer inom de olika utbildningsområdena anges under Gemensamma bestämmelser för universitet och högskolor m.m., avsnittet Ekonomisk redovisning, Verksamhetsgren Grundläggande högskoleutbildning med stödfunktioner punkt 7.",1
11,Anslagsposten får belastas med utgifter för administration av bidrag vid korttidsstudier enligt förordningen (2001:362) om bidrag vid korttidsstudier.,0
12,"Motsvarande det som anges i villkoren 1 och 2, delpost 1 Förvaltningskostnader för AMV, gäller även denna delpost.",1
13,"**För generella villkor för samtliga anslagsposter under 8:1, se anslagsposten 1.",2
14,Sida skall ta ut garantiavgifter samt får bestämma avgifternas storlek och disponera avgiftsinkomsterna.,0
15,Skatteverket skall senast två veckor efter rekvisition betala ut medel till Sveriges Kommuner och Landsting.,1
16,Kursdifferenser på återflöden från EU:s jordbruksfond för landsbygdsutveckling redovisas dock mot inkomsttitel 612206 Kursdifferenser från EU:s jordbruksfond för landsbygdsutveckling.,1
